,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.746 [0.699 - 0.789],0.675 [0.670 - 0.680],0.674 [0.596 - 0.746],0.675 [0.670 - 0.680],0.008 [0.006 - 0.009],0.348 [0.271 - 0.419],0.015 [0.012 - 0.018]
Demographic,0.649 [0.598 - 0.691],0.582 [0.577 - 0.587],0.582 [0.493 - 0.659],0.582 [0.577 - 0.587],0.005 [0.004 - 0.006],0.164 [0.076 - 0.240],0.010 [0.008 - 0.013]
Protein+Demographic,0.745 [0.700 - 0.787],0.674 [0.669 - 0.678],0.675 [0.595 - 0.745],0.674 [0.669 - 0.678],0.008 [0.006 - 0.009],0.349 [0.269 - 0.418],0.015 [0.013 - 0.018]
