,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.767 [0.749 - 0.784],0.698 [0.694 - 0.702],0.695 [0.665 - 0.726],0.698 [0.694 - 0.702],0.047 [0.043 - 0.051],0.392 [0.363 - 0.423],0.088 [0.082 - 0.095]
Demographic,0.675 [0.659 - 0.694],0.626 [0.621 - 0.630],0.624 [0.598 - 0.658],0.626 [0.621 - 0.630],0.035 [0.032 - 0.037],0.250 [0.222 - 0.284],0.066 [0.061 - 0.071]
Protein+Demographic,0.768 [0.749 - 0.785],0.704 [0.699 - 0.708],0.703 [0.672 - 0.733],0.704 [0.699 - 0.708],0.049 [0.045 - 0.052],0.407 [0.375 - 0.438],0.091 [0.084 - 0.098]
