,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.533 [0.515 - 0.550],0.520 [0.515 - 0.524],0.520 [0.489 - 0.550],0.520 [0.515 - 0.524],0.020 [0.018 - 0.021],0.040 [0.009 - 0.070],0.038 [0.034 - 0.041]
Demographic,0.525 [0.508 - 0.543],0.519 [0.515 - 0.523],0.519 [0.488 - 0.550],0.519 [0.515 - 0.523],0.019 [0.018 - 0.021],0.038 [0.007 - 0.069],0.037 [0.035 - 0.041]
Protein+Demographic,0.533 [0.514 - 0.552],0.520 [0.515 - 0.524],0.519 [0.488 - 0.548],0.520 [0.515 - 0.524],0.020 [0.018 - 0.021],0.039 [0.008 - 0.069],0.038 [0.034 - 0.041]
