,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.821 [0.811 - 0.830],0.746 [0.742 - 0.751],0.746 [0.728 - 0.763],0.746 [0.742 - 0.751],0.160 [0.153 - 0.167],0.493 [0.474 - 0.510],0.263 [0.254 - 0.274]
Demographic,0.756 [0.746 - 0.765],0.692 [0.688 - 0.697],0.692 [0.673 - 0.711],0.692 [0.688 - 0.697],0.127 [0.121 - 0.133],0.385 [0.366 - 0.403],0.214 [0.206 - 0.223]
Protein+Demographic,0.827 [0.818 - 0.836],0.753 [0.748 - 0.757],0.753 [0.735 - 0.770],0.753 [0.748 - 0.757],0.164 [0.157 - 0.172],0.505 [0.487 - 0.523],0.269 [0.260 - 0.280]
