,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.632 [0.617 - 0.646],0.594 [0.589 - 0.600],0.594 [0.570 - 0.616],0.595 [0.589 - 0.600],0.066 [0.063 - 0.070],0.189 [0.164 - 0.212],0.119 [0.113 - 0.126]
Demographic,0.614 [0.600 - 0.627],0.583 [0.578 - 0.588],0.582 [0.559 - 0.605],0.583 [0.578 - 0.588],0.064 [0.060 - 0.067],0.166 [0.143 - 0.189],0.115 [0.108 - 0.121]
Protein+Demographic,0.638 [0.623 - 0.651],0.600 [0.595 - 0.605],0.600 [0.577 - 0.622],0.600 [0.595 - 0.605],0.068 [0.064 - 0.072],0.199 [0.175 - 0.222],0.122 [0.116 - 0.128]
