,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.676 [0.623 - 0.729],0.627 [0.623 - 0.632],0.630 [0.546 - 0.715],0.627 [0.623 - 0.632],0.005 [0.004 - 0.006],0.257 [0.173 - 0.343],0.010 [0.008 - 0.012]
Demographic,0.580 [0.529 - 0.636],0.559 [0.554 - 0.563],0.561 [0.477 - 0.652],0.559 [0.554 - 0.563],0.004 [0.003 - 0.005],0.120 [0.037 - 0.212],0.007 [0.006 - 0.009]
Protein+Demographic,0.681 [0.630 - 0.731],0.637 [0.633 - 0.642],0.639 [0.556 - 0.723],0.637 [0.633 - 0.642],0.005 [0.004 - 0.006],0.276 [0.192 - 0.360],0.010 [0.008 - 0.012]
