,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.442 [0.412 - 0.476],0.455 [0.449 - 0.461],0.455 [0.402 - 0.508],0.455 [0.449 - 0.461],0.013 [0.011 - 0.015],-0.091 [-0.145 - -0.035],0.025 [0.021 - 0.029]
Demographic,0.530 [0.502 - 0.560],0.529 [0.522 - 0.535],0.529 [0.479 - 0.581],0.529 [0.522 - 0.535],0.017 [0.015 - 0.019],0.057 [0.006 - 0.110],0.033 [0.028 - 0.037]
Protein+Demographic,0.467 [0.437 - 0.500],0.488 [0.482 - 0.494],0.488 [0.440 - 0.544],0.488 [0.482 - 0.494],0.014 [0.012 - 0.017],-0.023 [-0.072 - 0.033],0.028 [0.024 - 0.032]
