,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.526 [0.500 - 0.555],0.522 [0.517 - 0.526],0.521 [0.478 - 0.569],0.522 [0.517 - 0.526],0.009 [0.008 - 0.011],0.042 [-0.001 - 0.091],0.018 [0.016 - 0.021]
Demographic,0.617 [0.591 - 0.642],0.593 [0.588 - 0.597],0.593 [0.548 - 0.639],0.593 [0.588 - 0.597],0.012 [0.011 - 0.014],0.186 [0.139 - 0.232],0.024 [0.021 - 0.027]
Protein+Demographic,0.560 [0.536 - 0.586],0.541 [0.537 - 0.545],0.540 [0.497 - 0.586],0.541 [0.537 - 0.545],0.010 [0.009 - 0.011],0.081 [0.036 - 0.127],0.020 [0.017 - 0.022]
