,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.838 [0.806 - 0.869],0.752 [0.747 - 0.756],0.751 [0.689 - 0.810],0.752 [0.748 - 0.756],0.013 [0.011 - 0.016],0.503 [0.440 - 0.563],0.026 [0.022 - 0.031]
Demographic,0.694 [0.656 - 0.731],0.641 [0.637 - 0.646],0.641 [0.574 - 0.708],0.641 [0.637 - 0.646],0.008 [0.007 - 0.009],0.283 [0.217 - 0.350],0.016 [0.013 - 0.019]
Protein+Demographic,0.842 [0.807 - 0.871],0.741 [0.737 - 0.745],0.740 [0.671 - 0.796],0.741 [0.737 - 0.745],0.013 [0.010 - 0.015],0.481 [0.412 - 0.538],0.025 [0.021 - 0.029]
