,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.691 [0.671 - 0.708],0.640 [0.635 - 0.644],0.641 [0.608 - 0.668],0.640 [0.635 - 0.644],0.035 [0.032 - 0.037],0.281 [0.246 - 0.309],0.066 [0.061 - 0.071]
Demographic,0.654 [0.635 - 0.673],0.615 [0.611 - 0.620],0.615 [0.583 - 0.646],0.615 [0.611 - 0.620],0.031 [0.029 - 0.034],0.231 [0.198 - 0.261],0.060 [0.055 - 0.065]
Protein+Demographic,0.694 [0.675 - 0.712],0.643 [0.639 - 0.648],0.643 [0.611 - 0.673],0.643 [0.638 - 0.648],0.035 [0.032 - 0.038],0.286 [0.254 - 0.317],0.067 [0.062 - 0.072]
