,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.928 [0.898 - 0.952],0.824 [0.821 - 0.827],0.833 [0.760 - 0.900],0.824 [0.821 - 0.827],0.012 [0.009 - 0.014],0.657 [0.585 - 0.725],0.023 [0.019 - 0.028]
Demographic,0.714 [0.662 - 0.761],0.646 [0.642 - 0.651],0.650 [0.558 - 0.734],0.646 [0.642 - 0.651],0.005 [0.004 - 0.005],0.297 [0.203 - 0.381],0.009 [0.007 - 0.011]
Protein+Demographic,0.922 [0.891 - 0.948],0.784 [0.781 - 0.788],0.833 [0.760 - 0.900],0.784 [0.780 - 0.788],0.010 [0.008 - 0.011],0.618 [0.544 - 0.684],0.019 [0.015 - 0.023]
