,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.716 [0.692 - 0.738],0.648 [0.644 - 0.652],0.649 [0.609 - 0.688],0.648 [0.644 - 0.652],0.019 [0.017 - 0.021],0.296 [0.256 - 0.336],0.037 [0.033 - 0.041]
Demographic,0.680 [0.658 - 0.704],0.626 [0.622 - 0.631],0.629 [0.590 - 0.669],0.626 [0.622 - 0.631],0.017 [0.015 - 0.019],0.255 [0.216 - 0.297],0.033 [0.030 - 0.037]
Protein+Demographic,0.720 [0.696 - 0.744],0.647 [0.643 - 0.651],0.647 [0.604 - 0.688],0.647 [0.643 - 0.651],0.019 [0.017 - 0.021],0.293 [0.250 - 0.335],0.036 [0.032 - 0.040]
