,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.877 [0.833 - 0.918],0.820 [0.816 - 0.824],0.796 [0.720 - 0.873],0.820 [0.816 - 0.824],0.011 [0.009 - 0.014],0.616 [0.539 - 0.692],0.022 [0.018 - 0.027]
Demographic,0.559 [0.514 - 0.610],0.551 [0.547 - 0.556],0.547 [0.465 - 0.644],0.551 [0.547 - 0.556],0.003 [0.002 - 0.004],0.100 [0.018 - 0.197],0.006 [0.005 - 0.008]
Protein+Demographic,0.871 [0.825 - 0.914],0.790 [0.786 - 0.794],0.788 [0.709 - 0.866],0.790 [0.786 - 0.794],0.010 [0.008 - 0.012],0.578 [0.500 - 0.656],0.019 [0.015 - 0.023]
