,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.666 [0.641 - 0.692],0.626 [0.619 - 0.632],0.624 [0.581 - 0.667],0.626 [0.619 - 0.632],0.032 [0.028 - 0.036],0.249 [0.205 - 0.295],0.061 [0.054 - 0.068]
Demographic,0.605 [0.579 - 0.632],0.562 [0.556 - 0.569],0.563 [0.515 - 0.611],0.562 [0.556 - 0.569],0.025 [0.022 - 0.028],0.126 [0.077 - 0.174],0.048 [0.042 - 0.054]
Protein+Demographic,0.676 [0.651 - 0.700],0.634 [0.628 - 0.641],0.634 [0.588 - 0.674],0.634 [0.628 - 0.641],0.033 [0.030 - 0.037],0.268 [0.223 - 0.310],0.064 [0.056 - 0.070]
