,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.657 [0.641 - 0.672],0.611 [0.607 - 0.616],0.611 [0.587 - 0.636],0.611 [0.607 - 0.616],0.042 [0.039 - 0.045],0.223 [0.198 - 0.248],0.079 [0.074 - 0.084]
Demographic,0.630 [0.614 - 0.644],0.595 [0.591 - 0.600],0.595 [0.571 - 0.620],0.595 [0.591 - 0.600],0.039 [0.037 - 0.042],0.190 [0.165 - 0.216],0.074 [0.069 - 0.079]
Protein+Demographic,0.670 [0.655 - 0.684],0.621 [0.617 - 0.625],0.621 [0.595 - 0.645],0.621 [0.616 - 0.625],0.044 [0.041 - 0.047],0.242 [0.215 - 0.266],0.082 [0.076 - 0.087]
