,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.724 [0.707 - 0.741],0.662 [0.658 - 0.667],0.662 [0.631 - 0.690],0.662 [0.658 - 0.667],0.038 [0.035 - 0.041],0.324 [0.294 - 0.352],0.072 [0.067 - 0.077]
Demographic,0.667 [0.651 - 0.684],0.620 [0.616 - 0.625],0.620 [0.591 - 0.649],0.620 [0.616 - 0.625],0.032 [0.030 - 0.034],0.240 [0.211 - 0.269],0.061 [0.056 - 0.065]
Protein+Demographic,0.741 [0.725 - 0.758],0.675 [0.671 - 0.679],0.674 [0.645 - 0.704],0.675 [0.671 - 0.679],0.040 [0.037 - 0.043],0.349 [0.320 - 0.378],0.076 [0.070 - 0.082]
