,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.893 [0.859 - 0.922],0.822 [0.819 - 0.825],0.821 [0.758 - 0.882],0.822 [0.819 - 0.825],0.013 [0.010 - 0.015],0.644 [0.579 - 0.706],0.025 [0.021 - 0.030]
Demographic,0.667 [0.622 - 0.710],0.614 [0.610 - 0.618],0.613 [0.532 - 0.688],0.614 [0.610 - 0.618],0.004 [0.003 - 0.005],0.226 [0.144 - 0.301],0.009 [0.007 - 0.011]
Protein+Demographic,0.897 [0.865 - 0.925],0.813 [0.810 - 0.816],0.815 [0.748 - 0.872],0.813 [0.809 - 0.816],0.012 [0.010 - 0.014],0.627 [0.562 - 0.685],0.023 [0.020 - 0.028]
