,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.628 [0.609 - 0.647],0.594 [0.588 - 0.601],0.594 [0.559 - 0.627],0.594 [0.588 - 0.601],0.053 [0.049 - 0.058],0.189 [0.152 - 0.221],0.098 [0.090 - 0.106]
Demographic,0.618 [0.600 - 0.637],0.582 [0.575 - 0.588],0.581 [0.547 - 0.615],0.582 [0.575 - 0.588],0.051 [0.046 - 0.056],0.163 [0.128 - 0.199],0.094 [0.086 - 0.102]
Protein+Demographic,0.662 [0.644 - 0.680],0.622 [0.616 - 0.629],0.623 [0.588 - 0.656],0.622 [0.616 - 0.629],0.060 [0.055 - 0.065],0.245 [0.211 - 0.278],0.109 [0.100 - 0.118]
