,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.721 [0.676 - 0.767],0.651 [0.647 - 0.656],0.649 [0.576 - 0.724],0.651 [0.647 - 0.656],0.006 [0.004 - 0.007],0.301 [0.227 - 0.376],0.011 [0.009 - 0.013]
Demographic,0.620 [0.573 - 0.666],0.599 [0.594 - 0.603],0.599 [0.517 - 0.680],0.599 [0.594 - 0.603],0.004 [0.004 - 0.005],0.198 [0.114 - 0.278],0.009 [0.007 - 0.011]
Protein+Demographic,0.723 [0.680 - 0.767],0.648 [0.644 - 0.652],0.648 [0.579 - 0.721],0.648 [0.644 - 0.652],0.006 [0.004 - 0.007],0.296 [0.225 - 0.370],0.011 [0.009 - 0.013]
