,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.880 [0.861 - 0.895],0.819 [0.814 - 0.823],0.817 [0.764 - 0.862],0.819 [0.814 - 0.823],0.038 [0.033 - 0.043],0.637 [0.583 - 0.681],0.073 [0.063 - 0.082]
Demographic,0.900 [0.888 - 0.910],0.828 [0.823 - 0.832],0.828 [0.780 - 0.874],0.828 [0.823 - 0.832],0.041 [0.035 - 0.046],0.655 [0.608 - 0.701],0.077 [0.067 - 0.086]
Protein+Demographic,0.906 [0.895 - 0.917],0.835 [0.830 - 0.839],0.838 [0.788 - 0.881],0.835 [0.830 - 0.839],0.043 [0.037 - 0.048],0.672 [0.622 - 0.715],0.081 [0.070 - 0.091]
