,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.516 [0.466 - 0.569],0.526 [0.521 - 0.532],0.525 [0.444 - 0.614],0.526 [0.520 - 0.532],0.006 [0.004 - 0.007],0.051 [-0.031 - 0.139],0.011 [0.009 - 0.013]
Demographic,0.604 [0.562 - 0.645],0.604 [0.598 - 0.610],0.603 [0.522 - 0.678],0.604 [0.599 - 0.610],0.008 [0.006 - 0.009],0.207 [0.126 - 0.284],0.015 [0.012 - 0.018]
Protein+Demographic,0.563 [0.514 - 0.613],0.558 [0.552 - 0.563],0.561 [0.474 - 0.645],0.558 [0.552 - 0.563],0.006 [0.005 - 0.008],0.119 [0.031 - 0.204],0.013 [0.010 - 0.015]
