,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.742 [0.718 - 0.767],0.683 [0.679 - 0.688],0.684 [0.642 - 0.723],0.683 [0.679 - 0.688],0.025 [0.022 - 0.027],0.367 [0.326 - 0.408],0.048 [0.043 - 0.053]
Demographic,0.717 [0.692 - 0.739],0.659 [0.654 - 0.663],0.657 [0.617 - 0.698],0.659 [0.654 - 0.663],0.022 [0.020 - 0.025],0.316 [0.275 - 0.356],0.043 [0.038 - 0.047]
Protein+Demographic,0.766 [0.740 - 0.788],0.694 [0.690 - 0.699],0.695 [0.653 - 0.736],0.694 [0.690 - 0.699],0.026 [0.023 - 0.029],0.390 [0.348 - 0.431],0.051 [0.045 - 0.056]
