,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.623 [0.584 - 0.660],0.594 [0.590 - 0.599],0.597 [0.530 - 0.659],0.594 [0.590 - 0.599],0.006 [0.005 - 0.007],0.191 [0.124 - 0.253],0.012 [0.010 - 0.014]
Demographic,0.557 [0.514 - 0.598],0.526 [0.521 - 0.529],0.524 [0.455 - 0.595],0.525 [0.521 - 0.530],0.005 [0.004 - 0.005],0.050 [-0.021 - 0.121],0.009 [0.007 - 0.011]
Protein+Demographic,0.624 [0.587 - 0.662],0.584 [0.579 - 0.588],0.586 [0.521 - 0.650],0.584 [0.580 - 0.588],0.006 [0.005 - 0.007],0.169 [0.105 - 0.234],0.012 [0.009 - 0.014]
