,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.613 [0.582 - 0.644],0.563 [0.559 - 0.567],0.563 [0.511 - 0.611],0.563 [0.559 - 0.567],0.009 [0.008 - 0.010],0.127 [0.076 - 0.175],0.017 [0.015 - 0.020]
Demographic,0.582 [0.551 - 0.614],0.571 [0.567 - 0.575],0.571 [0.518 - 0.622],0.571 [0.567 - 0.575],0.009 [0.008 - 0.010],0.143 [0.090 - 0.193],0.018 [0.016 - 0.021]
Protein+Demographic,0.614 [0.581 - 0.645],0.560 [0.556 - 0.564],0.560 [0.506 - 0.610],0.560 [0.556 - 0.564],0.009 [0.007 - 0.010],0.120 [0.066 - 0.171],0.017 [0.015 - 0.019]
