,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.805 [0.769 - 0.837],0.735 [0.730 - 0.740],0.737 [0.683 - 0.789],0.735 [0.730 - 0.740],0.023 [0.020 - 0.026],0.471 [0.417 - 0.526],0.044 [0.038 - 0.050]
Demographic,0.727 [0.695 - 0.759],0.670 [0.664 - 0.676],0.669 [0.612 - 0.730],0.670 [0.664 - 0.676],0.017 [0.014 - 0.019],0.339 [0.283 - 0.398],0.033 [0.028 - 0.037]
Protein+Demographic,0.808 [0.775 - 0.840],0.713 [0.707 - 0.718],0.729 [0.674 - 0.783],0.713 [0.707 - 0.718],0.021 [0.018 - 0.024],0.442 [0.387 - 0.495],0.040 [0.035 - 0.046]
