,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.683 [0.663 - 0.704],0.637 [0.633 - 0.641],0.638 [0.607 - 0.669],0.637 [0.633 - 0.641],0.028 [0.026 - 0.030],0.275 [0.243 - 0.307],0.053 [0.049 - 0.057]
Demographic,0.648 [0.624 - 0.667],0.605 [0.601 - 0.609],0.607 [0.569 - 0.638],0.605 [0.601 - 0.609],0.024 [0.022 - 0.026],0.212 [0.173 - 0.243],0.047 [0.043 - 0.050]
Protein+Demographic,0.688 [0.667 - 0.707],0.635 [0.631 - 0.639],0.636 [0.603 - 0.672],0.635 [0.631 - 0.639],0.027 [0.025 - 0.030],0.271 [0.236 - 0.306],0.052 [0.048 - 0.057]
