,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.924 [0.907 - 0.938],0.851 [0.849 - 0.854],0.854 [0.798 - 0.897],0.851 [0.849 - 0.854],0.021 [0.018 - 0.024],0.704 [0.650 - 0.750],0.041 [0.035 - 0.047]
Demographic,0.803 [0.775 - 0.829],0.723 [0.719 - 0.727],0.720 [0.663 - 0.786],0.723 [0.719 - 0.727],0.010 [0.008 - 0.011],0.443 [0.385 - 0.508],0.019 [0.016 - 0.022]
Protein+Demographic,0.934 [0.920 - 0.947],0.868 [0.865 - 0.871],0.868 [0.820 - 0.915],0.868 [0.865 - 0.871],0.024 [0.021 - 0.028],0.736 [0.687 - 0.784],0.047 [0.040 - 0.054]
