,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.848 [0.821 - 0.873],0.789 [0.784 - 0.793],0.790 [0.725 - 0.847],0.789 [0.784 - 0.793],0.021 [0.018 - 0.025],0.580 [0.513 - 0.636],0.041 [0.035 - 0.049]
Demographic,0.910 [0.896 - 0.923],0.838 [0.833 - 0.842],0.838 [0.775 - 0.892],0.838 [0.833 - 0.842],0.029 [0.025 - 0.034],0.676 [0.614 - 0.732],0.057 [0.049 - 0.066]
Protein+Demographic,0.899 [0.880 - 0.914],0.819 [0.814 - 0.823],0.821 [0.756 - 0.880],0.819 [0.814 - 0.823],0.026 [0.022 - 0.030],0.640 [0.575 - 0.699],0.050 [0.043 - 0.058]
