,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.646 [0.588 - 0.700],0.617 [0.613 - 0.622],0.614 [0.519 - 0.700],0.617 [0.613 - 0.622],0.004 [0.003 - 0.005],0.232 [0.138 - 0.317],0.008 [0.006 - 0.010]
Demographic,0.560 [0.503 - 0.619],0.535 [0.530 - 0.540],0.535 [0.447 - 0.629],0.535 [0.531 - 0.540],0.003 [0.002 - 0.004],0.069 [-0.018 - 0.164],0.006 [0.004 - 0.007]
Protein+Demographic,0.649 [0.593 - 0.705],0.607 [0.603 - 0.611],0.605 [0.508 - 0.697],0.607 [0.603 - 0.611],0.004 [0.003 - 0.005],0.211 [0.113 - 0.305],0.008 [0.006 - 0.009]
