,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.687 [0.644 - 0.735],0.624 [0.619 - 0.629],0.634 [0.559 - 0.709],0.624 [0.619 - 0.629],0.007 [0.005 - 0.008],0.258 [0.184 - 0.332],0.013 [0.011 - 0.016]
Demographic,0.634 [0.589 - 0.680],0.572 [0.567 - 0.577],0.571 [0.491 - 0.659],0.572 [0.567 - 0.577],0.005 [0.004 - 0.006],0.144 [0.062 - 0.232],0.011 [0.008 - 0.013]
Protein+Demographic,0.694 [0.650 - 0.740],0.642 [0.637 - 0.647],0.639 [0.567 - 0.716],0.642 [0.637 - 0.647],0.007 [0.006 - 0.008],0.281 [0.211 - 0.360],0.014 [0.012 - 0.017]
