,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.848 [0.835 - 0.861],0.771 [0.767 - 0.775],0.772 [0.743 - 0.797],0.771 [0.767 - 0.775],0.081 [0.076 - 0.087],0.542 [0.514 - 0.569],0.147 [0.138 - 0.156]
Demographic,0.730 [0.715 - 0.746],0.670 [0.665 - 0.674],0.670 [0.639 - 0.701],0.670 [0.665 - 0.675],0.050 [0.047 - 0.054],0.339 [0.309 - 0.371],0.094 [0.087 - 0.100]
Protein+Demographic,0.850 [0.836 - 0.862],0.769 [0.765 - 0.773],0.765 [0.737 - 0.791],0.769 [0.765 - 0.774],0.080 [0.074 - 0.086],0.535 [0.506 - 0.560],0.145 [0.135 - 0.154]
