,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.604 [0.566 - 0.637],0.578 [0.574 - 0.582],0.577 [0.511 - 0.639],0.578 [0.574 - 0.582],0.006 [0.005 - 0.007],0.155 [0.088 - 0.217],0.012 [0.010 - 0.014]
Demographic,0.650 [0.621 - 0.681],0.590 [0.586 - 0.594],0.589 [0.533 - 0.652],0.590 [0.586 - 0.594],0.006 [0.005 - 0.007],0.179 [0.123 - 0.243],0.012 [0.010 - 0.015]
Protein+Demographic,0.633 [0.597 - 0.664],0.589 [0.585 - 0.593],0.589 [0.525 - 0.655],0.589 [0.585 - 0.593],0.006 [0.005 - 0.007],0.179 [0.114 - 0.244],0.012 [0.010 - 0.014]
