,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.778 [0.742 - 0.811],0.710 [0.707 - 0.715],0.713 [0.653 - 0.770],0.710 [0.707 - 0.715],0.011 [0.010 - 0.013],0.424 [0.364 - 0.481],0.023 [0.019 - 0.026]
Demographic,0.641 [0.600 - 0.679],0.605 [0.601 - 0.610],0.608 [0.546 - 0.668],0.605 [0.601 - 0.609],0.007 [0.006 - 0.008],0.212 [0.152 - 0.275],0.014 [0.012 - 0.017]
Protein+Demographic,0.774 [0.738 - 0.807],0.686 [0.682 - 0.690],0.698 [0.640 - 0.757],0.686 [0.682 - 0.689],0.010 [0.009 - 0.012],0.384 [0.325 - 0.443],0.020 [0.017 - 0.024]
