,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.715 [0.662 - 0.765],0.670 [0.666 - 0.674],0.663 [0.573 - 0.752],0.670 [0.666 - 0.674],0.004 [0.003 - 0.005],0.333 [0.240 - 0.422],0.008 [0.007 - 0.010]
Demographic,0.666 [0.624 - 0.706],0.636 [0.631 - 0.640],0.641 [0.547 - 0.726],0.636 [0.631 - 0.640],0.004 [0.003 - 0.005],0.276 [0.183 - 0.362],0.007 [0.006 - 0.009]
Protein+Demographic,0.743 [0.697 - 0.788],0.660 [0.656 - 0.664],0.656 [0.564 - 0.744],0.660 [0.655 - 0.664],0.004 [0.003 - 0.005],0.316 [0.223 - 0.405],0.008 [0.006 - 0.010]
