,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.743 [0.735 - 0.752],0.674 [0.670 - 0.679],0.675 [0.660 - 0.689],0.674 [0.670 - 0.679],0.189 [0.184 - 0.195],0.349 [0.335 - 0.365],0.296 [0.288 - 0.304]
Demographic,0.647 [0.638 - 0.655],0.604 [0.599 - 0.608],0.604 [0.589 - 0.618],0.604 [0.599 - 0.609],0.147 [0.141 - 0.152],0.208 [0.192 - 0.223],0.236 [0.229 - 0.243]
Protein+Demographic,0.751 [0.742 - 0.758],0.682 [0.678 - 0.686],0.682 [0.668 - 0.695],0.682 [0.677 - 0.686],0.194 [0.188 - 0.200],0.364 [0.350 - 0.378],0.303 [0.295 - 0.310]
