,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.819 [0.797 - 0.842],0.745 [0.741 - 0.749],0.746 [0.695 - 0.796],0.745 [0.741 - 0.749],0.016 [0.014 - 0.018],0.491 [0.439 - 0.542],0.031 [0.027 - 0.035]
Demographic,0.720 [0.693 - 0.746],0.668 [0.664 - 0.672],0.669 [0.611 - 0.721],0.668 [0.664 - 0.672],0.011 [0.009 - 0.013],0.337 [0.279 - 0.391],0.021 [0.019 - 0.025]
Protein+Demographic,0.822 [0.799 - 0.844],0.746 [0.742 - 0.749],0.742 [0.689 - 0.789],0.746 [0.742 - 0.749],0.016 [0.014 - 0.018],0.488 [0.435 - 0.534],0.031 [0.027 - 0.035]
