,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.636 [0.577 - 0.692],0.608 [0.604 - 0.612],0.606 [0.512 - 0.695],0.608 [0.604 - 0.612],0.003 [0.002 - 0.004],0.215 [0.121 - 0.304],0.006 [0.005 - 0.008]
Demographic,0.455 [0.408 - 0.508],0.477 [0.473 - 0.481],0.476 [0.385 - 0.569],0.477 [0.473 - 0.481],0.002 [0.001 - 0.002],-0.048 [-0.140 - 0.048],0.004 [0.003 - 0.005]
Protein+Demographic,0.635 [0.576 - 0.690],0.609 [0.605 - 0.613],0.607 [0.516 - 0.699],0.609 [0.605 - 0.613],0.003 [0.002 - 0.004],0.215 [0.125 - 0.309],0.006 [0.005 - 0.008]
