,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.800 [0.789 - 0.811],0.723 [0.719 - 0.728],0.724 [0.703 - 0.743],0.723 [0.718 - 0.728],0.111 [0.105 - 0.117],0.447 [0.426 - 0.468],0.193 [0.183 - 0.202]
Demographic,0.664 [0.651 - 0.679],0.616 [0.611 - 0.621],0.617 [0.594 - 0.641],0.616 [0.611 - 0.621],0.071 [0.067 - 0.076],0.233 [0.208 - 0.257],0.128 [0.121 - 0.135]
Protein+Demographic,0.802 [0.792 - 0.813],0.727 [0.723 - 0.732],0.727 [0.706 - 0.748],0.727 [0.723 - 0.732],0.113 [0.107 - 0.119],0.455 [0.433 - 0.475],0.196 [0.187 - 0.205]
