,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.638 [0.600 - 0.675],0.594 [0.587 - 0.601],0.592 [0.525 - 0.656],0.594 [0.587 - 0.601],0.016 [0.013 - 0.019],0.185 [0.116 - 0.250],0.031 [0.026 - 0.036]
Demographic,0.520 [0.484 - 0.557],0.511 [0.505 - 0.519],0.511 [0.439 - 0.577],0.512 [0.505 - 0.519],0.012 [0.009 - 0.014],0.021 [-0.051 - 0.088],0.023 [0.018 - 0.027]
Protein+Demographic,0.638 [0.601 - 0.674],0.600 [0.594 - 0.608],0.601 [0.536 - 0.662],0.600 [0.593 - 0.608],0.017 [0.014 - 0.019],0.201 [0.134 - 0.262],0.032 [0.027 - 0.038]
