,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.933 [0.923 - 0.944],0.862 [0.858 - 0.866],0.861 [0.839 - 0.883],0.862 [0.858 - 0.866],0.164 [0.155 - 0.175],0.723 [0.701 - 0.746],0.276 [0.262 - 0.291]
Demographic,0.845 [0.833 - 0.858],0.768 [0.763 - 0.773],0.767 [0.740 - 0.793],0.768 [0.763 - 0.773],0.094 [0.088 - 0.101],0.535 [0.507 - 0.562],0.168 [0.158 - 0.178]
Protein+Demographic,0.936 [0.925 - 0.945],0.866 [0.862 - 0.870],0.865 [0.843 - 0.887],0.866 [0.862 - 0.870],0.169 [0.159 - 0.179],0.731 [0.709 - 0.753],0.282 [0.268 - 0.297]
