,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.784 [0.746 - 0.821],0.704 [0.700 - 0.708],0.704 [0.638 - 0.768],0.704 [0.700 - 0.708],0.009 [0.007 - 0.010],0.408 [0.341 - 0.473],0.017 [0.014 - 0.020]
Demographic,0.593 [0.547 - 0.633],0.583 [0.579 - 0.587],0.586 [0.506 - 0.654],0.583 [0.578 - 0.587],0.005 [0.004 - 0.006],0.169 [0.091 - 0.237],0.010 [0.008 - 0.012]
Protein+Demographic,0.778 [0.740 - 0.819],0.710 [0.706 - 0.714],0.709 [0.645 - 0.771],0.710 [0.706 - 0.714],0.009 [0.007 - 0.010],0.420 [0.355 - 0.482],0.017 [0.015 - 0.020]
