,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.578 [0.569 - 0.586],0.555 [0.549 - 0.561],0.555 [0.541 - 0.569],0.555 [0.549 - 0.562],0.217 [0.210 - 0.225],0.111 [0.096 - 0.126],0.313 [0.304 - 0.322]
Demographic,0.555 [0.546 - 0.564],0.540 [0.534 - 0.547],0.541 [0.527 - 0.555],0.540 [0.534 - 0.547],0.207 [0.201 - 0.215],0.081 [0.066 - 0.097],0.300 [0.291 - 0.309]
Protein+Demographic,0.584 [0.576 - 0.593],0.564 [0.559 - 0.571],0.564 [0.551 - 0.579],0.565 [0.558 - 0.572],0.224 [0.216 - 0.232],0.129 [0.114 - 0.145],0.320 [0.311 - 0.330]
