,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.680 [0.665 - 0.695],0.633 [0.629 - 0.638],0.633 [0.608 - 0.659],0.633 [0.629 - 0.638],0.054 [0.051 - 0.057],0.266 [0.240 - 0.291],0.100 [0.094 - 0.105]
Demographic,0.629 [0.615 - 0.643],0.592 [0.587 - 0.596],0.592 [0.567 - 0.615],0.592 [0.587 - 0.596],0.046 [0.043 - 0.049],0.184 [0.160 - 0.208],0.085 [0.080 - 0.090]
Protein+Demographic,0.691 [0.676 - 0.705],0.635 [0.631 - 0.640],0.635 [0.610 - 0.661],0.635 [0.631 - 0.640],0.055 [0.051 - 0.058],0.271 [0.244 - 0.297],0.101 [0.095 - 0.106]
