,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.827 [0.781 - 0.870],0.760 [0.756 - 0.764],0.750 [0.663 - 0.828],0.760 [0.756 - 0.764],0.008 [0.006 - 0.010],0.510 [0.423 - 0.588],0.016 [0.013 - 0.019]
Demographic,0.769 [0.716 - 0.817],0.707 [0.703 - 0.712],0.706 [0.616 - 0.784],0.708 [0.703 - 0.712],0.006 [0.005 - 0.007],0.414 [0.325 - 0.492],0.012 [0.010 - 0.015]
Protein+Demographic,0.851 [0.809 - 0.887],0.778 [0.774 - 0.782],0.777 [0.689 - 0.853],0.778 [0.774 - 0.782],0.009 [0.007 - 0.011],0.555 [0.469 - 0.631],0.018 [0.014 - 0.021]
