,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.564 [0.526 - 0.605],0.561 [0.556 - 0.565],0.560 [0.491 - 0.626],0.561 [0.556 - 0.565],0.006 [0.005 - 0.007],0.120 [0.051 - 0.187],0.011 [0.009 - 0.013]
Demographic,0.518 [0.480 - 0.554],0.498 [0.493 - 0.502],0.498 [0.431 - 0.566],0.498 [0.493 - 0.502],0.004 [0.004 - 0.005],-0.004 [-0.071 - 0.065],0.009 [0.007 - 0.010]
Protein+Demographic,0.553 [0.514 - 0.593],0.538 [0.534 - 0.543],0.536 [0.468 - 0.605],0.538 [0.534 - 0.543],0.005 [0.004 - 0.006],0.074 [0.006 - 0.145],0.010 [0.008 - 0.012]
