,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.670 [0.628 - 0.713],0.677 [0.673 - 0.681],0.654 [0.590 - 0.724],0.677 [0.673 - 0.681],0.007 [0.006 - 0.009],0.331 [0.265 - 0.400],0.014 [0.012 - 0.017]
Demographic,0.591 [0.547 - 0.630],0.538 [0.534 - 0.542],0.541 [0.467 - 0.608],0.538 [0.534 - 0.542],0.004 [0.003 - 0.005],0.079 [0.004 - 0.146],0.008 [0.007 - 0.010]
Protein+Demographic,0.690 [0.649 - 0.729],0.657 [0.652 - 0.661],0.655 [0.592 - 0.727],0.656 [0.652 - 0.661],0.007 [0.006 - 0.008],0.311 [0.249 - 0.384],0.014 [0.011 - 0.016]
