,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.805 [0.776 - 0.832],0.744 [0.738 - 0.749],0.746 [0.669 - 0.814],0.744 [0.738 - 0.749],0.016 [0.013 - 0.019],0.489 [0.412 - 0.559],0.031 [0.025 - 0.038]
Demographic,0.874 [0.851 - 0.892],0.803 [0.797 - 0.808],0.806 [0.731 - 0.871],0.803 [0.797 - 0.808],0.022 [0.018 - 0.027],0.609 [0.534 - 0.675],0.043 [0.035 - 0.051]
Protein+Demographic,0.849 [0.828 - 0.867],0.782 [0.776 - 0.788],0.781 [0.702 - 0.851],0.782 [0.776 - 0.788],0.019 [0.016 - 0.023],0.564 [0.482 - 0.635],0.038 [0.031 - 0.045]
