,AUC,Accuracy,Sensitivity,Specificity,Precision,Youden-index,F1-score
Protein,0.910 [0.893 - 0.925],0.845 [0.842 - 0.849],0.846 [0.809 - 0.882],0.845 [0.842 - 0.849],0.038 [0.034 - 0.042],0.692 [0.654 - 0.727],0.072 [0.066 - 0.080]
Demographic,0.842 [0.823 - 0.860],0.762 [0.758 - 0.765],0.761 [0.718 - 0.804],0.762 [0.758 - 0.766],0.022 [0.020 - 0.025],0.523 [0.479 - 0.566],0.044 [0.039 - 0.049]
Protein+Demographic,0.918 [0.902 - 0.932],0.847 [0.844 - 0.851],0.848 [0.812 - 0.885],0.847 [0.844 - 0.851],0.039 [0.035 - 0.043],0.696 [0.660 - 0.732],0.074 [0.066 - 0.081]
