Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,AMBP,Protein AMBP,25229,291,2.79 [1.65-4.72],0.0001262596740517
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,ASGR1,Asialoglycoprotein receptor 1,24869,285,1.80 [1.29-2.51],0.0006108416559525
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,CA12,Carbonic anhydrase 12,24937,288,1.60 [1.22-2.09],0.000750773595099
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,CCL7,C-C motif chemokine 7,25016,286,1.34 [1.17-1.55],4.7907131582611113e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,CCN3,CCN family member 3,25304,294,1.80 [1.36-2.38],3.389727095782966e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,CD302,CD302 antigen,24937,288,1.78 [1.28-2.46],0.0005248103824059
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,CD83,CD83 antigen,25016,286,1.99 [1.50-2.65],1.8576414992485128e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,CDCP1,CUB domain-containing protein 1,24869,285,1.38 [1.14-1.66],0.0007517720811265
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,CHGA,Chromogranin-A,21701,250,1.36 [1.21-1.54],6.203891887799171e-07
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,CLEC5A,C-type lectin domain family 5 member A,24948,286,1.77 [1.27-2.48],0.0007936052256787
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,COL6A3,Collagen alpha-3(VI) chain,25345,294,1.67 [1.24-2.24],0.0007097117348849
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,COL9A1,Collagen alpha-1(IX) chain,25016,286,1.48 [1.20-1.82],0.0002625857748552
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,COLEC12,Collectin-12,25017,288,1.97 [1.32-2.94],0.0008507227257826
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,CTSF,Cathepsin F,25095,291,1.61 [1.26-2.07],0.0001740962790797
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,CTSZ,Cathepsin Z,25015,290,2.01 [1.46-2.77],1.8939470676239187e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,DCN,Decorin,24585,287,2.53 [1.61-3.96],5.030639684668366e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,EDA2R,Tumor necrosis factor receptor superfamily member 27,25262,293,1.73 [1.31-2.27],9.727963310866172e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,EFNA1,Ephrin-A1,24978,287,1.87 [1.29-2.70],0.0008541230777709
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,EGFL7,Epidermal growth factor-like protein 7,24427,286,1.56 [1.23-1.97],0.0002036297629009
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,EPHA2,Ephrin type-A receptor 2,24149,272,1.84 [1.31-2.57],0.0003764866944447
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,FABP1,"Fatty acid-binding protein, liver",25017,288,1.22 [1.10-1.35],0.0001766380982887
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,FABP2,"Fatty acid-binding protein, intestinal",25037,287,1.27 [1.12-1.44],0.0002568618631272
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,FABP4,"Fatty acid-binding protein, adipocyte",25345,294,1.39 [1.16-1.68],0.0005172348599179
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,FST,Follistatin,25112,290,1.46 [1.20-1.77],0.0001191239364275
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,GAST,Gastrin,21646,249,1.22 [1.12-1.33],3.593527445038754e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,GDF15,Growth/differentiation factor 15,25345,294,1.57 [1.33-1.86],1.9192118123852533e-07
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,GFRA1,GDNF family receptor alpha-1,25230,293,2.31 [1.62-3.28],3.4778682599008046e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,HAVCR2,Hepatitis A virus cellular receptor 2,25023,288,1.91 [1.44-2.53],8.351142198061774e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,IGFBP4,Insulin-like growth factor-binding protein 4,24702,286,1.70 [1.35-2.13],6.4761479745628656e-06
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,IGFBP7,Insulin-like growth factor-binding protein 7,25345,294,1.79 [1.35-2.37],4.3671160829414425e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,LAMP3,Lysosome-associated membrane glycoprotein 3,25286,293,1.39 [1.15-1.67],0.0005238673564918
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,LAYN,Layilin,24822,285,1.84 [1.37-2.49],6.24715885056223e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,LGALS3,Galectin-3,25109,290,1.89 [1.36-2.64],0.0001686999505675
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,LGALS4,Galectin-4,25017,288,1.43 [1.19-1.72],0.0001188604819455
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,LGALS9,Galectin-9,25024,289,1.72 [1.26-2.36],0.0006955306242992
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,MDGA1,MAM domain-containing glycosylphosphatidylinositol anchor protein 1,24869,285,1.35 [1.16-1.57],7.756117648869684e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,MMP12,Macrophage metalloelastase,25079,289,1.47 [1.22-1.78],6.941609333875621e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,NPC2,NPC intracellular cholesterol transporter 2,21338,245,1.83 [1.32-2.53],0.0002538786011349
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,ORM1,Alpha-1-acid glycoprotein 1,21673,251,2.67 [1.52-4.71],0.000663024609298
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,PIGR,Polymeric immunoglobulin receptor,24715,286,1.64 [1.26-2.13],0.0002358831643314
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,25023,288,1.91 [1.32-2.77],0.0006424993394976
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,PLAUR,Urokinase plasminogen activator surface receptor,24848,287,2.17 [1.53-3.08],1.4091523629808502e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,REG1A,Lithostathine-1-alpha,24891,289,1.42 [1.17-1.72],0.0003050017398958
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,REG3A,Regenerating islet-derived protein 3-alpha,25345,294,1.36 [1.16-1.59],0.0001130554642818
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of synovium and tendon,RNASE4,Ribonuclease 4,21033,234,2.20 [1.48-3.25],8.476085082852127e-05
