Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter IX Diseases of the circulatory system,Phlebitis and thrombophlebitis (not including DVT),LMOD1,Leiomodin-1,Inverse variance weighted,6,0.78 [0.61-0.98],0.0367847973734417
Chapter IX Diseases of the circulatory system,Phlebitis and thrombophlebitis (not including DVT),OGN,Mimecan,Inverse variance weighted,37,0.88 [0.82-0.94],0.0003294111103248
Chapter IX Diseases of the circulatory system,Phlebitis and thrombophlebitis (not including DVT),LTBP2,Latent-transforming growth factor beta-binding protein 2,Inverse variance weighted,18,1.20 [1.00-1.42],0.0462291256106786
Chapter IX Diseases of the circulatory system,Phlebitis and thrombophlebitis (not including DVT),SUSD5,Sushi domain-containing protein 5,Inverse variance weighted,28,1.08 [1.02-1.15],0.0058495776578968
Chapter IX Diseases of the circulatory system,Phlebitis and thrombophlebitis (not including DVT),THBD,Thrombomodulin,Inverse variance weighted,16,1.28 [1.07-1.52],0.0071415345835272
Chapter IX Diseases of the circulatory system,Phlebitis and thrombophlebitis (not including DVT),NPDC1,Neural proliferation differentiation and control protein 1,Inverse variance weighted,7,1.43 [1.09-1.88],0.0089315325287793
Chapter IX Diseases of the circulatory system,Phlebitis and thrombophlebitis (not including DVT),EPHA2,Ephrin type-A receptor 2,Inverse variance weighted,5,1.43 [1.02-2.01],0.0362056221654745
Chapter IX Diseases of the circulatory system,Phlebitis and thrombophlebitis (not including DVT),TNC,Tenascin,Inverse variance weighted,57,1.06 [1.00-1.11],0.0336496880896792
Chapter IX Diseases of the circulatory system,Phlebitis and thrombophlebitis (not including DVT),SPINK1,Serine protease inhibitor Kazal-type 1,Inverse variance weighted,28,0.91 [0.85-0.98],0.0150899691514311
Chapter IX Diseases of the circulatory system,Phlebitis and thrombophlebitis (not including DVT),TNFRSF11A,Tumor necrosis factor receptor superfamily member 11A,Inverse variance weighted,35,1.07 [1.01-1.15],0.0306188991395051
