Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,C7,Complement component C7,Inverse variance weighted,60,1.04 [1.01-1.07],0.0220919932342483
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,IL1RL1,Interleukin-1 receptor-like 1,Inverse variance weighted,66,1.05 [1.01-1.09],0.0061447491814745
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,PILRA,Paired immunoglobulin-like type 2 receptor alpha,Inverse variance weighted,61,1.03 [1.00-1.06],0.0415720137839367
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,APOE,Apolipoprotein E,Inverse variance weighted,34,0.60 [0.55-0.64],2.96558550880441e-41
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,CD276,CD276 antigen,Inverse variance weighted,47,0.95 [0.91-0.99],0.015544966584202
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,PILRB,Paired immunoglobulin-like type 2 receptor beta,Inverse variance weighted,76,1.03 [1.01-1.06],0.0049180349937009
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,GFRA1,GDNF family receptor alpha-1,Inverse variance weighted,10,1.16 [1.07-1.27],0.0007286372603723
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,DCN,Decorin,Inverse variance weighted,3,1.47 [1.01-2.15],0.0467203409326788
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,IGFBPL1,Insulin-like growth factor-binding protein-like 1,Inverse variance weighted,23,1.05 [1.00-1.10],0.0452295375113046
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,HAVCR2,Hepatitis A virus cellular receptor 2,Inverse variance weighted,13,0.96 [0.92-0.99],0.0094642885253004
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,RBFOX3,RNA binding protein fox-1 homolog 3,Inverse variance weighted,2,0.61 [0.38-0.98],0.0420617486922018
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,SNAP25,Synaptosomal-associated protein 25,Inverse variance weighted,15,2.27 [1.90-2.71],2.51459421696158e-19
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,RNASE6,Ribonuclease K6,Inverse variance weighted,20,0.92 [0.87-0.98],0.0062736692712295
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,IGFBP3,Insulin-like growth factor-binding protein 3,Inverse variance weighted,41,1.09 [1.03-1.14],0.0012825549046409
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,MENT,Protein MENT,Inverse variance weighted,30,2.15 [1.87-2.47],1.44026212874301e-27
Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,ADM,Pro-adrenomedullin,Inverse variance weighted,4,0.82 [0.69-0.97],0.0238402972218499
