Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIV Diseases of the genitourinary system,Other disorders of  bladder,ITGAV,Integrin alpha-V,Inverse variance weighted,14,0.77 [0.60-0.97],0.0263232064816537
Chapter XIV Diseases of the genitourinary system,Other disorders of  bladder,ITGA11,Integrin alpha-11,Inverse variance weighted,16,0.85 [0.74-0.98],0.029305183810505
