Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XI Diseases of the digestive system,Chronic gastritis,TNFRSF4,Tumor necrosis factor receptor superfamily member 4,Inverse variance weighted,15,1.28 [1.13-1.45],8.38115053837161e-05
Chapter XI Diseases of the digestive system,Chronic gastritis,GFRA1,GDNF family receptor alpha-1,Inverse variance weighted,10,1.15 [1.02-1.29],0.0211520295585972
Chapter XI Diseases of the digestive system,Chronic gastritis,ANXA10,Annexin A10,Wald ratio,1,1.90 [1.07-3.38],0.0293751550700725
