Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Coxarthrosis,MMP13,Collagenase 3,Inverse variance weighted,2,1.60 [1.11-2.29],0.0107484445630611
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Coxarthrosis,SPP1,Osteopontin,Inverse variance weighted,19,0.86 [0.76-0.97],0.0159362707389082
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Coxarthrosis,DCN,Decorin,Inverse variance weighted,3,1.50 [1.12-2.02],0.0065975532271476
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Coxarthrosis,RSPO3,R-spondin-3,Inverse variance weighted,11,1.15 [1.05-1.26],0.0027497663975279
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Coxarthrosis,AMBP,Protein AMBP,Inverse variance weighted,5,1.23 [1.07-1.41],0.0031208011932606
