Disease_category,Disease,Protein,Protein_definition,Method,Nb_SNP,OR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,DLK1,Protein delta homolog 1,Inverse variance weighted,33,0.97 [0.95-1.00],0.0445906163349819
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,CYTL1,Cytokine-like protein 1,Inverse variance weighted,10,1.03 [1.00-1.06],0.0459415067280047
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,PALM2,Paralemmin-2,Inverse variance weighted,9,0.94 [0.89-1.00],0.0344955206265237
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,REG3A,Regenerating islet-derived protein 3-alpha,Inverse variance weighted,30,1.04 [1.00-1.08],0.0277275194965502
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,LGALS3,Galectin-3,Inverse variance weighted,42,1.05 [1.02-1.09],0.001990257954145
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,LGALS1,Galectin-1,Inverse variance weighted,7,0.95 [0.91-0.99],0.0066828392333758
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,SPP1,Osteopontin,Inverse variance weighted,19,0.91 [0.83-0.99],0.0318982401884868
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,PLA2G2A,"Phospholipase A2, membrane associated",Inverse variance weighted,23,0.97 [0.95-1.00],0.0168215031465987
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,ELN,Elastin,Inverse variance weighted,12,1.12 [1.01-1.26],0.0403832912609646
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,SIGLEC1,Sialoadhesin,Inverse variance weighted,31,1.04 [1.00-1.08],0.0265772222233086
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,PHOSPHO1,Phosphoethanolamine/phosphocholine phosphatase,Inverse variance weighted,5,0.90 [0.81-1.00],0.0494376886597108
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,CA12,Carbonic anhydrase 12,Inverse variance weighted,20,1.05 [1.01-1.08],0.0076389413252963
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,CLEC14A,C-type lectin domain family 14 member A,Inverse variance weighted,4,0.89 [0.82-0.98],0.0123513553971029
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,AMBP,Protein AMBP,Inverse variance weighted,5,1.15 [1.02-1.29],0.0254539562621187
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,CNTN5,Contactin-5,Inverse variance weighted,53,1.03 [1.00-1.05],0.03738965950414
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,ADM,Pro-adrenomedullin,Inverse variance weighted,4,1.12 [1.05-1.19],0.0003638705654326
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,ASGR1,Asialoglycoprotein receptor 1,Inverse variance weighted,8,0.83 [0.77-0.91],1.43902387043793e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,SEPTIN8,Septin-8,Inverse variance weighted,6,0.91 [0.85-0.97],0.0075500896889532
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,Inverse variance weighted,18,1.07 [1.01-1.13],0.0179429787224991
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,MYL3,Myosin light chain 3,Inverse variance weighted,13,1.09 [1.01-1.17],0.0292876996633939
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,PIGR,Polymeric immunoglobulin receptor,Inverse variance weighted,31,0.87 [0.80-0.95],0.0017363745853999
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,PSAP,Prosaposin,Inverse variance weighted,13,0.94 [0.90-0.99],0.01058142988145
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,GUCA2A,Guanylin,Inverse variance weighted,16,1.08 [1.02-1.14],0.0075235770779926
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Inverse variance weighted,9,0.89 [0.84-0.94],2.55431814368918e-05
