Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,ACAN,Aggrecan core protein,20597,126,1.79 [1.01-3.20],0.0478277859437113
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,ACOX1,Peroxisomal acyl-coenzyme A oxidase 1,20808,128,0.65 [0.47-0.91],0.0131557940353914
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,ACY1,Aminoacylase-1,20808,128,0.73 [0.56-0.95],0.0186594873343422
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,ADH4,All-trans-retinol dehydrogenase [NAD(+)] ADH4,20409,123,0.82 [0.67-1.00],0.0489929580830851
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,AMBP,Protein AMBP,20961,131,2.43 [1.16-5.09],0.0189904646773324
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,ANGPTL4,Angiopoietin-related protein 4,20858,129,0.69 [0.49-0.99],0.041461639117008
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,ARNT,Aryl hydrocarbon receptor nuclear translocator,20449,127,0.60 [0.37-0.98],0.043337422710897
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,ASPN,Asporin,18073,118,1.61 [1.01-2.57],0.0464441636594622
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,ATP1B4,Protein ATP1B4,17433,117,0.59 [0.36-0.98],0.039596703763491
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,ATP6AP2,Renin receptor,20322,124,1.62 [1.21-2.18],0.001258588981955
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,ATP6V1D,V-type proton ATPase subunit D,20703,129,1.51 [1.03-2.22],0.0344411109062551
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,B3GNT7,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7",17588,114,2.67 [1.63-4.36],8.721580876507768e-05
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,BCL2L11,"Bcl-2-like protein 11, Isoform BimL ",20791,129,0.67 [0.48-0.94],0.0194566029825039
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,BEX3,Protein BEX3,17433,117,1.34 [1.01-1.79],0.0421149613700906
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,BGLAP,Osteocalcin,18089,118,0.81 [0.66-0.98],0.0312100401689135
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,BLNK,B-cell linker protein,17540,115,1.49 [1.07-2.07],0.0191232468842251
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,BPIFB2,BPI fold-containing family B member 2,18043,117,0.73 [0.54-0.99],0.0449436058669607
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,20998,130,2.21 [1.35-3.62],0.0016701832258854
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,C1QBP,"Complement component 1 Q subcomponent-binding protein, mitochondrial",18046,118,1.21 [1.01-1.45],0.0403198257296151
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,C2orf69,UPF0565 protein C2orf69,17597,115,1.32 [1.07-1.62],0.0082308125088219
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CALB2,Calretinin,20357,126,0.49 [0.27-0.88],0.0175245261337432
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CALY,Neuron-specific vesicular protein calcyon,17459,115,1.86 [1.51-2.28],4.720665033577798e-09
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CANT1,Soluble calcium-activated nucleotidase 1,20739,127,0.30 [0.14-0.66],0.0028303477444247
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CBLIF,Cobalamin binding intrinsic factor,20781,127,1.29 [1.05-1.59],0.0164168621651731
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CD244,Natural killer cell receptor 2B4,21058,131,0.56 [0.32-0.99],0.0463589006125306
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CD302,CD302 antigen,20703,129,1.64 [1.04-2.59],0.0318552597382804
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CD34,Hematopoietic progenitor cell antigen CD34,20934,130,2.07 [1.11-3.87],0.0225989168207047
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,20703,129,0.59 [0.36-0.95],0.0307513246382822
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CDA,Cytidine deaminase,18042,118,0.61 [0.41-0.91],0.0156808164887651
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CDHR2,Cadherin-related family member 2,20703,129,0.78 [0.62-0.99],0.0451637175202774
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CEACAM3,Carcinoembryonic antigen-related cell adhesion molecule 3,20322,124,1.38 [1.05-1.82],0.0190212487546135
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5,20068,123,1.34 [1.04-1.71],0.0222022438380013
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CFD,Complement factor D,18096,118,0.40 [0.16-1.00],0.0495046858066015
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CFH,Complement factor H,17050,113,0.43 [0.19-0.93],0.0330569264843723
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CKB,Creatine kinase B-type,18089,118,1.44 [1.07-1.94],0.0158393081735631
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CLINT1,Clathrin interactor 1,17433,117,1.35 [1.05-1.75],0.0205184315696047
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,COL15A1,Collagen alpha-1(XV) chain,18089,118,0.48 [0.26-0.91],0.023195819703043
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,COMP,Cartilage oligomeric matrix protein,20588,126,1.94 [1.22-3.09],0.0048417193061265
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CRISP3,Cysteine-rich secretory protein 3,17922,116,0.37 [0.20-0.69],0.0019594214027085
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CRTAC1,Cartilage acidic protein 1,21063,129,2.28 [1.33-3.90],0.0025709846679097
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CSRP3,Cysteine and glycine-rich protein 3,17459,115,1.23 [1.05-1.43],0.0088997743416552
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CST5,Cystatin-D,20377,127,0.74 [0.55-0.99],0.0400911991653785
Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylolisthesis/Spondylolysis,CXCL12,Stromal cell-derived factor 1,20449,127,0.61 [0.41-0.92],0.0177129787570773
