Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
RHOC,Rho-related GTP-binding protein RhoC,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,26033,6083,1.05 [1.03-1.07],3.6958329855439946e-06
RHOC,Rho-related GTP-binding protein RhoC,Chapter IX Diseases of the circulatory system,Hypertension,26621,4959,1.06 [1.04-1.08],2.6929989507011093e-07
RHOC,Rho-related GTP-binding protein RhoC,Chapter IX Diseases of the circulatory system,"Hypertension, essential",26636,4974,1.06 [1.04-1.08],2.3335809544627066e-07
