Protein,Protein_definition,Trait_category,Trait,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
MTSS1,Protein MTSS 1,Eye measures,"X5199.logMAR, initial (right)",33265,0.0335467889277239,0.0246789015232106,-0.0148238580577689,0.0819174359132166,0.17410753304948
MTSS1,Protein MTSS 1,Eye measures,X5200.Final number of letters displayed (right),33265,0.00017195951214516,0.153099707714873,-0.299903467609005,0.300247386633295,0.999103875133202
MTSS1,Protein MTSS 1,Eye measures,"X5201.logMAR, final (right)",33212,0.0125146845300796,0.0166988011401085,-0.0202149657045331,0.0452443347646923,0.453632618149487
MTSS1,Protein MTSS 1,Eye measures,X5202.Number of rounds to result (right),33265,0.0433036825881359,0.0234315175920889,-0.0026220918923583,0.0892294570686301,0.0646519297657945
MTSS1,Protein MTSS 1,Eye measures,"X5206.logMAR, initial (left)",33261,0.0374659220718173,0.0245865065894806,-0.0107236308435646,0.0856554749871992,0.127616339379275
MTSS1,Protein MTSS 1,Eye measures,X5207.Final number of letters displayed (left),33261,0.090464917878269,0.155420418763354,-0.214159102897905,0.395088938654443,0.560550491624564
MTSS1,Protein MTSS 1,Eye measures,"X5208.logMAR, final (left)",33224,0.0141430992292294,0.0169327421929781,-0.0190450754690077,0.0473312739274666,0.403619241543828
MTSS1,Protein MTSS 1,Eye measures,X5209.Number of rounds to result (left),33257,0.0564312818522074,0.0235923157572049,0.0101903429680857,0.102672220736329,0.0167993368088875
MTSS1,Protein MTSS 1,Eye measures,"X5254.Intra-ocular pressure, corneal-compensated (right)",33092,-0.00738260186887021,0.0165898059336733,-0.0398986214988698,0.0251334177611294,0.656335174532235
MTSS1,Protein MTSS 1,Eye measures,"X5255.Intra-ocular pressure, Goldmann-correlated (right)",33092,-0.00441758956115753,0.0163529586693088,-0.0364693885530029,0.0276342094306878,0.787064898308233
MTSS1,Protein MTSS 1,Eye measures,X5256.Corneal hysteresis (right),33092,0.0109941671494733,0.0168918624545248,-0.0221138832613953,0.0441022175603419,0.515172846836811
MTSS1,Protein MTSS 1,Eye measures,X5257.Corneal resistance factor (right),33092,0.00499084688743184,0.0166884678198926,-0.0277185500395577,0.0377002438144214,0.764908388282953
MTSS1,Protein MTSS 1,Eye measures,"X5262.Intra-ocular pressure, corneal-compensated (left)",33067,0.0191222118772034,0.016779176505143,-0.0137649740728768,0.0520093978272836,0.254497637952626
MTSS1,Protein MTSS 1,Eye measures,"X5263.Intra-ocular pressure, Goldmann-correlated (left)",33067,0.00903570524476622,0.0166472028166211,-0.0235928122758112,0.0416642227653436,0.587310990849397
MTSS1,Protein MTSS 1,Eye measures,X5264.Corneal hysteresis (left),33067,-0.0171843533645306,0.0168033142178979,-0.0501188492316104,0.0157501425025492,0.3065162394212
MTSS1,Protein MTSS 1,Eye measures,X5265.Corneal resistance factor (left),33067,-0.00511148466679334,0.0167281055492399,-0.0378985715433035,0.0276756022097169,0.759951881381344
MTSS1,Protein MTSS 1,Lifestyle factors,X5364.Average weekly intake of other alcoholic drinks,33849,0.0527467328844214,0.112688952834073,-0.168123614670361,0.273617080439204,0.639751338165608
MTSS1,Protein MTSS 1,Diet and food preferences,"X6144#1.Never eat eggs, dairy, wheat, sugar_Eggs or foods containing eggs",48976,0.00613368072389305,0.0451399009021754,-0.0823405250443706,0.0946078864921568,0.891916245561538
MTSS1,Protein MTSS 1,Diet and food preferences,"X6144#2.Never eat eggs, dairy, wheat, sugar_Dairy products",48976,0.0167457099531517,0.0515320381510541,-0.0842570848229143,0.117748504729218,0.745216754949106
MTSS1,Protein MTSS 1,Diet and food preferences,"X6144#3.Never eat eggs, dairy, wheat, sugar_Wheat products",48976,-0.0201202293817072,0.129562486726909,-0.274062703366448,0.233822244603034,0.876591372381958
MTSS1,Protein MTSS 1,Diet and food preferences,"X6144#4.Never eat eggs, dairy, wheat, sugar_Sugar or foods or drinks containing sugar",48976,-0.0242115554599707,0.0205422387945111,-0.0644743434972125,0.016051232577271,0.238562085587715
MTSS1,Protein MTSS 1,Diet and food preferences,"X6144#5.Never eat eggs, dairy, wheat, sugar_I eat all of the above",48976,0.0185303744586165,0.0190512550550331,-0.0188100854492483,0.0558708343664813,0.330734361044377
MTSS1,Protein MTSS 1,Mental health,"X6145#3.Illness, injury, bereavement, stress in last 2 years_Death of a close relative",37540,-0.0306702368925787,0.0245177869693715,-0.0787250993525469,0.0173846255673895,0.210989752629893
MTSS1,Protein MTSS 1,Mental health,"X6145#4.Illness, injury, bereavement, stress in last 2 years_Death of a spouse or partner",37540,-0.0370323101420441,0.0757094054114423,-0.185422744748471,0.111358124464383,0.624756345893055
MTSS1,Protein MTSS 1,Mental health,"X6145#5.Illness, injury, bereavement, stress in last 2 years_Marital separation or divorce",37540,-0.0206320942011079,0.0472125098576818,-0.113168613522164,0.0719044251199485,0.662118409998504
MTSS1,Protein MTSS 1,Mental health,"X6145#6.Illness, injury, bereavement, stress in last 2 years_Financial difficulties",37540,0.0475358713106533,0.0285405405474264,-0.00840358816230237,0.103475330783609,0.0958368986767863
MTSS1,Protein MTSS 1,Eye measures,X6147#1.Reason for glasses or contact lenses_For short-sightedness,49038,-0.0313050857626231,0.0432113057093132,-0.115999244952877,0.0533890734276307,0.468788498259087
MTSS1,Protein MTSS 1,Eye measures,X6147#2.Reason for glasses or contact lenses_For long-sightedness,49038,-0.0313050857626231,0.0432113057093132,-0.115999244952877,0.0533890734276307,0.468788498259087
MTSS1,Protein MTSS 1,Eye measures,X6147#3.Reason for glasses or contact lenses_For just reading or near work as you are getting older (called 'presbyopia'),49038,0.0259850403290223,0.0314577008891756,-0.0356720534137618,0.0876421340718065,0.408796073241412
MTSS1,Protein MTSS 1,Eye measures,X6147#4.Reason for glasses or contact lenses_For 'astigmatism',49038,-0.0741546593466335,0.0555351367446826,-0.183003527366211,0.0346942086729444,0.181801349098248
MTSS1,Protein MTSS 1,Eye measures,X6147#5.Reason for glasses or contact lenses_For a 'squint' or 'turn' in an eye since childhood (called 'strabismus'),49038,0.228487900370145,0.130413462266424,-0.0271224856720453,0.484098286412335,0.0797841703015539
MTSS1,Protein MTSS 1,Eye measures,X6147#6.Reason for glasses or contact lenses_For a 'lazy' eye or an eye with poor vision since childhood (called 'amblyopia'),49038,0.0757580296556978,0.0916008092197029,-0.10377955641492,0.255295615726315,0.408220974187956
MTSS1,Protein MTSS 1,Eye measures,X6147#7.Reason for glasses or contact lenses_Other eye condition,49038,0.313817121709162,0.139735942190459,0.0399346750158618,0.587699568402462,0.0247283128759719
MTSS1,Protein MTSS 1,Health and medical history,X6149#1.Mouth or teeth dental problems_Mouth ulcers,48975,0.0347988903547873,0.0281669196127259,-0.0204082720861555,0.0900060527957301,0.216676400731605
MTSS1,Protein MTSS 1,Health and medical history,X6149#2.Mouth or teeth dental problems_Painful gums,48975,0.124882692274676,0.0492447824593725,0.0283629186543061,0.221402465895046,0.0112214285860935
MTSS1,Protein MTSS 1,Health and medical history,X6149#3.Mouth or teeth dental problems_Bleeding gums,48975,0.0536716616079765,0.025542165001405,0.00360901820522277,0.10373430501073,0.0356271973669584
MTSS1,Protein MTSS 1,Health and medical history,X6149#4.Mouth or teeth dental problems_Loose teeth,48975,0.0254357336363466,0.0377480408959444,-0.0485504265197044,0.0994218937923976,0.500427527880859
MTSS1,Protein MTSS 1,Health and medical history,X6149#5.Mouth or teeth dental problems_Toothache,48975,0.058360170116404,0.0382122339828749,-0.0165358084900309,0.133256148722839,0.126710894920605
MTSS1,Protein MTSS 1,Health and medical history,X6149#6.Mouth or teeth dental problems_Dentures,48975,0.0174593506906545,0.0217195916879828,-0.0251110490177917,0.0600297503991008,0.421491473972335
MTSS1,Protein MTSS 1,Health and medical history,X6150#1.Vascular or heart problems diagnosed by doctor_Heart attack,35926,-0.0755631179695299,0.0409398810136092,-0.155805284756204,0.00467904881714416,0.0649747530709493
MTSS1,Protein MTSS 1,Health and medical history,X6150#2.Vascular or heart problems diagnosed by doctor_Angina,35926,-0.103812553850597,0.0389377596657876,-0.180130562795541,-0.0274945449056536,0.00769018511510427
MTSS1,Protein MTSS 1,Health and medical history,X6150#3.Vascular or heart problems diagnosed by doctor_Stroke,35926,-0.0793894804467986,0.056640584724209,-0.190405026506248,0.031626065612651,0.161066346153092
MTSS1,Protein MTSS 1,Health and medical history,X6150#4.Vascular or heart problems diagnosed by doctor_High blood pressure,35926,0.0833287238919986,0.0418355124628766,0.00133111946476051,0.165326328319237,0.0464280990628605
MTSS1,Protein MTSS 1,Health and medical history,X6151#1.Fractured bone site(s)_Ankle,48935,0.0797633838726582,0.075755919599373,-0.0687182185421128,0.228244986287429,0.292399481279869
MTSS1,Protein MTSS 1,Health and medical history,X6151#2.Fractured bone site(s)_Leg,48935,0.0928414447428276,0.0942849680111028,-0.0919570925589339,0.277639982044589,0.324788188108248
MTSS1,Protein MTSS 1,Health and medical history,X6151#3.Fractured bone site(s)_Hip,48935,-0.0779318054537382,0.179317192739795,-0.429393503223735,0.273529892316259,0.663855165747603
MTSS1,Protein MTSS 1,Health and medical history,X6151#4.Fractured bone site(s)_Spine,48935,0.0451518115795679,0.171098141236822,-0.290200545244604,0.380504168403739,0.791864098952206
MTSS1,Protein MTSS 1,Health and medical history,X6151#5.Fractured bone site(s)_Wrist,48935,0.0587756741230256,0.0713087728680385,-0.0809895206983298,0.198540868944381,0.409811825486764
MTSS1,Protein MTSS 1,Health and medical history,X6151#6.Fractured bone site(s)_Arm,48935,0.107645662322647,0.0840222067305316,-0.0570378628691947,0.272329187514489,0.200153035604067
MTSS1,Protein MTSS 1,Health and medical history,X6151#7.Fractured bone site(s)_Other bones,48935,-0.0357486431263935,0.0354962534918583,-0.105321299970436,0.0338240137176487,0.313893746977412
MTSS1,Protein MTSS 1,Health and medical history,"X6152#5.Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Blood clot in the leg (DVT)",34740,-0.089062001032109,0.060619451995359,-0.207876126943013,0.0297521248787946,0.141830220040752
MTSS1,Protein MTSS 1,Health and medical history,"X6152#6.Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor_Emphysema or chronic bronchitis",34740,-0.0303449038189766,0.0588340808158993,-0.145659702218139,0.0849698945801859,0.606033035567527
