Trait_category,Trait,Protein,Protein_definition,sample_size,Estimated_effect,se,lowerCI,upperCI,Pvalue
Diet and food preferences,X20629.Liking for butternut squash,BGLAP,Osteocalcin,15787,-0.172473554347792,0.0162023967391149,-0.204230251956457,-0.140716856739127,2.26266582361796e-26
Diet and food preferences,X20629.Liking for butternut squash,IL18R1,Interleukin-18 receptor 1,18830,-0.365232475427399,0.0358702570929064,-0.435538179329495,-0.294926771525302,2.75742911476067e-24
Diet and food preferences,X20629.Liking for butternut squash,HGF,Hepatocyte growth factor,18830,-0.345242440382351,0.0347866429145741,-0.413424260494916,-0.277060620269786,3.71108534176818e-23
Diet and food preferences,X20629.Liking for butternut squash,RARRES2,Retinoic acid receptor responder protein 2,18725,-0.229523329868814,0.0248657656225121,-0.278260230488938,-0.180786429248691,2.97419466229643e-20
Diet and food preferences,X20629.Liking for butternut squash,PRSS8,Prostasin,18569,-0.274272227358198,0.0304510916301775,-0.333956366953346,-0.21458808776305,2.31911566865476e-19
Diet and food preferences,X20629.Liking for butternut squash,GDF15,Growth/differentiation factor 15,18872,-0.274238833980417,0.0305737569058506,-0.334163397515884,-0.214314270444949,3.24450259539135e-19
Diet and food preferences,X20629.Liking for butternut squash,TGFA,Protransforming growth factor alpha,18592,-0.231867880242231,0.0263141177825611,-0.283443551096051,-0.180292209388412,1.3412331467663e-18
Diet and food preferences,X20629.Liking for butternut squash,CFH,Complement factor H,14877,-0.540804912528748,0.0614775521339291,-0.661300914711249,-0.420308910346247,1.56066900776193e-18
Diet and food preferences,X20629.Liking for butternut squash,OSM,Oncostatin-M,18493,-0.144198753728663,0.0165511225014162,-0.176638953831439,-0.111758553625887,3.22439178058776e-18
Diet and food preferences,X20629.Liking for butternut squash,CD99L2,CD99 antigen-like protein 2,18632,-0.43206872058878,0.0497214939725152,-0.52952284877491,-0.33461459240265,3.92770674343427e-18
Diet and food preferences,X20629.Liking for butternut squash,A1BG,Alpha-1B-glycoprotein,15826,-0.679751309059252,0.0792617437376886,-0.835104326785121,-0.524398291333382,1.07193995154714e-17
Diet and food preferences,X20629.Liking for butternut squash,F9,Coagulation factor IX,18666,-0.555532066067204,0.064933275420275,-0.682801285890943,-0.428262846243465,1.26399965144127e-17
Diet and food preferences,X20629.Liking for butternut squash,GFRA1,GDNF family receptor alpha-1,18759,-0.377171018577517,0.0445167885152206,-0.46442392406735,-0.289918113087685,2.57595501635698e-17
Diet and food preferences,X20629.Liking for butternut squash,NHLRC3,NHL repeat-containing protein 3,15083,-0.391154169394772,0.0462371636579319,-0.481779010164318,-0.300529328625225,2.92376372786824e-17
Diet and food preferences,X20629.Liking for butternut squash,ASGR1,Asialoglycoprotein receptor 1,18489,-0.346186901413991,0.0414207170136966,-0.427371506760836,-0.265002296067146,6.83675023852721e-17
Diet and food preferences,X20629.Liking for butternut squash,VWC2,Brorin,18424,-0.253703647921638,0.031094452657989,-0.314648775131297,-0.19275852071198,3.58982895332332e-16
Diet and food preferences,X20629.Liking for butternut squash,PIGR,Polymeric immunoglobulin receptor,18390,-0.279807859206925,0.0345310654487696,-0.347488747486514,-0.212126970927337,5.69180820381818e-16
Diet and food preferences,X20629.Liking for butternut squash,REN,Renin,18624,-0.139786916740977,0.0172779749676586,-0.173651747677588,-0.105922085804366,6.30599354845411e-16
Diet and food preferences,X20629.Liking for butternut squash,WFDC2,WAP four-disulfide core domain protein 2,17636,-0.288686980664371,0.0359557854885597,-0.359160320221948,-0.218213641106794,1.04463306988307e-15
Diet and food preferences,X20629.Liking for butternut squash,PI3,Elafin,18392,-0.179915050212326,0.022477888089688,-0.223971710868115,-0.135858389556538,1.27470807868994e-15
Diet and food preferences,X20629.Liking for butternut squash,IL1RN,Interleukin-1 receptor antagonist protein,18610,-0.176463824840271,0.022119481821148,-0.219818009209721,-0.133109640470821,1.5760961001183e-15
Diet and food preferences,X20629.Liking for butternut squash,CCL22,C-C motif chemokine 22,18447,-0.184417754806806,0.023156565324441,-0.22980462284271,-0.139030886770901,1.76257884274533e-15
Diet and food preferences,X20629.Liking for butternut squash,FAM20A,Pseudokinase FAM20A,15794,-0.390619799447757,0.049764663983823,-0.48815854085605,-0.293081058039464,4.4496069686883e-15
Diet and food preferences,X20629.Liking for butternut squash,PLAT,Tissue-type plasminogen activator,18808,-0.184385584546437,0.0236269194857186,-0.230694346738445,-0.138076822354429,6.30812930637296e-15
Diet and food preferences,X20629.Liking for butternut squash,INHBC,Inhibin beta C chain,18632,-0.218485426310401,0.028014850125342,-0.273394532556071,-0.163576320064731,6.57228830115417e-15
Diet and food preferences,X20629.Liking for butternut squash,CFB,Complement factor B,15509,-0.329909097718953,0.0423561281985975,-0.412927108988204,-0.246891086449702,7.18418640010717e-15
Diet and food preferences,X20629.Liking for butternut squash,IL19,Interleukin-19,18178,-0.13460531187823,0.0175265216424703,-0.168957294297472,-0.100253329458988,1.67026338074127e-14
Diet and food preferences,X20629.Liking for butternut squash,FURIN,Furin,18699,-0.267412051638567,0.034989479135079,-0.335991430743322,-0.198832672533812,2.23078213449617e-14
Diet and food preferences,X20629.Liking for butternut squash,CPM,Carboxypeptidase M,18732,-0.264253496241157,0.0348018420837942,-0.332465106725394,-0.19604188575692,3.27023801796585e-14
Diet and food preferences,X20629.Liking for butternut squash,MPO,Myeloperoxidase,18632,-0.190437849923909,0.0250811683825073,-0.239596939953623,-0.141278759894194,3.2767712660792e-14
Diet and food preferences,X20629.Liking for butternut squash,LAMP3,Lysosome-associated membrane glycoprotein 3,18806,-0.176879688357312,0.0234724631292548,-0.222885716090651,-0.130873660623972,5.08029422611046e-14
Diet and food preferences,X20629.Liking for butternut squash,FGFR2,Fibroblast growth factor receptor 2,18699,-0.425877910781207,0.0565444998375448,-0.536705130462795,-0.315050691099619,5.23505906250224e-14
Diet and food preferences,X20629.Liking for butternut squash,INHBB,Inhibin beta B chain,15457,-0.210998053004144,0.0280962074723628,-0.266066619649976,-0.155929486358313,6.24341991639452e-14
Diet and food preferences,X20629.Liking for butternut squash,APCS,Serum amyloid P-component,15673,-0.298157805890476,0.0398698449832458,-0.376302702057638,-0.220012909723314,7.92910217179776e-14
Diet and food preferences,X20629.Liking for butternut squash,SERPIND1,Heparin cofactor 2,15790,-0.368853629745433,0.0495731602407813,-0.466017023817365,-0.271690235673502,1.05398278374039e-13
Diet and food preferences,X20629.Liking for butternut squash,PTGDS,Prostaglandin-H2 D-isomerase,18478,-0.309878400495656,0.0420151536274584,-0.392228101605475,-0.227528699385838,1.70794279724e-13
