Disease_category,Disease,Protein,Protein_definition,NB_individual,NB_case,HR[95%CI],P_value
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,RUVBL1,RuvB-like 1,26084,283,0.85 [0.76-0.95],0.0052802104407985
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,SELP,P-selectin,26809,293,1.27 [1.07-1.51],0.0066222086732898
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,SIRT2,NAD-dependent protein deacetylase sirtuin-2,26601,289,1.17 [1.05-1.32],0.006789737393482
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,SLAMF7,SLAM family member 7,26670,292,1.26 [1.06-1.50],0.0087481602261353
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,SNX9,Sorting nexin-9,26726,292,1.22 [1.05-1.41],0.0083283123249724
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,SRPK2,SRSF protein kinase 2,26670,292,1.20 [1.07-1.34],0.0021609062434978
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,STAT2,Signal transducer and activator of transcription 2,22625,245,1.23 [1.05-1.44],0.0085132051545795
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,STX6,Syntaxin-6,26084,283,1.20 [1.05-1.37],0.0057749654369429
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,TBC1D23,TBC1 domain family member 23,26601,289,1.17 [1.04-1.30],0.0077324008095497
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,TBC1D5,TBC1 domain family member 5,26670,292,1.18 [1.04-1.33],0.0074787198826199
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,TRIM40,E3 ubiquitin ligase TRIM40,22631,246,1.32 [1.13-1.53],0.0002980190390041
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,TXK,Tyrosine-protein kinase TXK,22853,251,1.19 [1.04-1.35],0.008835823114482
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,VASP,Vasodilator-stimulated phosphoprotein,23301,250,1.24 [1.05-1.46],0.0097084474845436
Chapter X Diseases of the respiratory system,Vasomotor and allergic rhinitis,WAS,Wiskott-Aldrich syndrome protein,26174,288,1.24 [1.08-1.42],0.0025124472516215
