Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
KIF1C,Kinesin-like protein KIF1C,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Wald ratio,1,1.16 [1.08-1.26],0.00016213556581976,trans
KIF1C,Kinesin-like protein KIF1C,Chapter X Diseases of the respiratory system,ILD,Inverse variance weighted,21,1.03 [1-1.05],0.0207738733839713,trans
KIF1C,Kinesin-like protein KIF1C,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_ANAEMIANAS,Inverse variance weighted,4,1.15 [1.01-1.31],0.0336914264190362,trans
KIF1C,Kinesin-like protein KIF1C,Chapter X Diseases of the respiratory system,J10_INTERSTITIUM,Inverse variance weighted,4,1.03 [1-1.07],0.0446362219089636,trans
KIF1C,Kinesin-like protein KIF1C,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_GOUT,Inverse variance weighted,24,0.98 [0.96-1],0.0621375061999487,trans
KIF1C,Kinesin-like protein KIF1C,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_FLUIDELECTRO,Wald ratio,1,1.16 [0.99-1.36],0.075666246079264,trans
KIF1C,Kinesin-like protein KIF1C,Chapter X Diseases of the respiratory system,J10_RESPIRATORY,Inverse variance weighted,15,1.09 [0.98-1.2],0.0973053491017661,trans
KIF1C,Kinesin-like protein KIF1C,Chapter X Diseases of the respiratory system,J10_PNEUMONAS,Wald ratio,1,1.2 [0.95-1.52],0.130880853479303,trans
KIF1C,Kinesin-like protein KIF1C,Chapter IX Diseases of the circulatory system,I9_HEARTFAIL,Inverse variance weighted,4,1.09 [0.97-1.22],0.159289871933165,trans
KIF1C,Kinesin-like protein KIF1C,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,Wald ratio,1,0.81 [0.58-1.13],0.208996034474253,trans
KIF1C,Kinesin-like protein KIF1C,Chapter X Diseases of the respiratory system,J10_ACUTELOWERNAS,Wald ratio,1,1.08 [0.95-1.22],0.22332113625197,trans
KIF1C,Kinesin-like protein KIF1C,Chapter IX Diseases of the circulatory system,I9_K_CARDIAC,Inverse variance weighted,2,1.08 [0.94-1.24],0.264295571418386,trans
KIF1C,Kinesin-like protein KIF1C,Chapter XIII Diseases of the musculoskeletal system and connective tissue,GOUT_NOS,Inverse variance weighted,14,0.99 [0.96-1.01],0.271994592638504,trans
KIF1C,Kinesin-like protein KIF1C,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_IMPLICIT,Wald ratio,1,1.11 [0.85-1.45],0.430169272571474,trans
KIF1C,Kinesin-like protein KIF1C,Chapter X Diseases of the respiratory system,J10_LOWERINF,Wald ratio,1,1.1 [0.85-1.42],0.474757711082969,trans
KIF1C,Kinesin-like protein KIF1C,Chapter I Certain infectious and parasitic diseases,AB1_OTHER_BACTERIAL,Wald ratio,1,0.92 [0.72-1.17],0.493933629316189,trans
KIF1C,Kinesin-like protein KIF1C,Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Wald ratio,1,0.91 [0.66-1.24],0.539588242671039,trans
KIF1C,Kinesin-like protein KIF1C,Chapter XIV Diseases of the genitourinary system,N14_DIALYSIS,Inverse variance weighted,4,0.98 [0.92-1.04],0.556079663345026,trans
KIF1C,Kinesin-like protein KIF1C,Chapter X Diseases of the respiratory system,J10_INFLUPNEU,Inverse variance weighted,3,0.94 [0.73-1.22],0.642278017874237,trans
KIF1C,Kinesin-like protein KIF1C,Chapter I Certain infectious and parasitic diseases,AB1_OTHER_SEPSIS,Wald ratio,1,1.05 [0.86-1.27],0.651638614855951,trans
KIF1C,Kinesin-like protein KIF1C,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_OTHERANAEMIA,Wald ratio,1,0.96 [0.76-1.2],0.692440284043402,trans
KIF1C,Kinesin-like protein KIF1C,Chapter IX Diseases of the circulatory system,I9_PAD,Inverse variance weighted,2,1.01 [0.94-1.09],0.734438206264946,trans
KIF1C,Kinesin-like protein KIF1C,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_BLOOD_IMMUN,Wald ratio,1,1.02 [0.73-1.42],0.910043825170037,trans
KIF1C,Kinesin-like protein KIF1C,Chapter XIII Diseases of the musculoskeletal system and connective tissue,M13_POLYARTHROPATHIES,Inverse variance weighted,16,1 [0.93-1.08],0.973331000401396,trans
