Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
KLKB1,Plasma kallikrein,Chapter XI Diseases of the digestive system,K11_DISLIVOTH,Inverse variance weighted,3,0.84 [0.76-0.92],0.000104161372756759,trans
KLKB1,Plasma kallikrein,Chapter XI Diseases of the digestive system,K11_FIBROCHIRLIV,Inverse variance weighted,2,0.89 [0.83-0.95],0.000446198068254111,trans
KLKB1,Plasma kallikrein,Chapter XI Diseases of the digestive system,K11_LIVER,Inverse variance weighted,8,0.88 [0.8-0.98],0.0157077385717415,trans
KLKB1,Plasma kallikrein,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D3_BLOOD_IMMUN,Wald ratio,1,1.39 [1.04-1.86],0.0255821675448253,trans
KLKB1,Plasma kallikrein,Chapter IX Diseases of the circulatory system,I9_K_CARDIAC,Inverse variance weighted,2,1.13 [0.96-1.34],0.149315636699182,trans
KLKB1,Plasma kallikrein,Chapter X Diseases of the respiratory system,ILD,Inverse variance weighted,21,0.99 [0.97-1.01],0.279847775749205,trans
KLKB1,Plasma kallikrein,Chapter XI Diseases of the digestive system,CHIRHEP_NAS,Inverse variance weighted,2,0.94 [0.84-1.05],0.283004577010415,trans
KLKB1,Plasma kallikrein,Chapter IX Diseases of the circulatory system,I9_UAP,Inverse variance weighted,24,0.99 [0.95-1.02],0.416214805439223,trans
KLKB1,Plasma kallikrein,Chapter X Diseases of the respiratory system,IPF,Inverse variance weighted,20,0.99 [0.98-1.01],0.43834044560355,trans
KLKB1,Plasma kallikrein,Chapter X Diseases of the respiratory system,J10_INTERSTITIUM,Inverse variance weighted,4,1 [0.98-1.03],0.769497957828138,trans
KLKB1,Plasma kallikrein,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_FLUIDELECTRO,Wald ratio,1,1.01 [0.88-1.17],0.844350507216892,trans
KLKB1,Plasma kallikrein,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_HYPOOSMNAT,Wald ratio,1,1.01 [0.92-1.11],0.844350507216892,trans
KLKB1,Plasma kallikrein,Chapter I Certain infectious and parasitic diseases,AB1_SEPSIS_CONDITION,Wald ratio,1,1 [0.75-1.35],0.979203525907049,trans
