Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
FCRL1,Fc receptor-like protein 1,Chapter IX Diseases of the circulatory system,I9_HYPTENSPOR,Wald ratio,1,1.06 [1.03-1.1],0.000188263843130583,trans
FCRL1,Fc receptor-like protein 1,Chapter XIV Diseases of the genitourinary system,N14_RENALTUB,Wald ratio,1,0.6 [0.44-0.82],0.00113931050106819,trans
FCRL1,Fc receptor-like protein 1,Chapter XI Diseases of the digestive system,K11_FIBROCHIRLIV,Inverse variance weighted,2,1.07 [1.02-1.11],0.00402758766929713,trans
FCRL1,Fc receptor-like protein 1,Chapter XIV Diseases of the genitourinary system,N14_CHRONKIDNEYDIS,Wald ratio,1,1.11 [1.03-1.19],0.00692795580274835,trans
FCRL1,Fc receptor-like protein 1,Chapter IX Diseases of the circulatory system,I9_VARICVEOES,Inverse variance weighted,2,1.06 [1.02-1.11],0.00817862906565792,trans
FCRL1,Fc receptor-like protein 1,Chapter XI Diseases of the digestive system,CHIRHEP_NAS,Inverse variance weighted,2,1.04 [1-1.08],0.0290002284097331,trans
FCRL1,Fc receptor-like protein 1,Chapter XI Diseases of the digestive system,K11_CHOLELITH,Inverse variance weighted,122,1.03 [1-1.06],0.0803143150200827,trans
FCRL1,Fc receptor-like protein 1,Chapter II Neoplasms,CD2_LYMPHOID_LEUKAEMIA_EXALLC,Inverse variance weighted,8,1.04 [0.99-1.11],0.139602093897091,trans
FCRL1,Fc receptor-like protein 1,Chapter V Mental and behavioural disorders,AUD,Inverse variance weighted,6,0.98 [0.94-1.03],0.386621145961078,trans
FCRL1,Fc receptor-like protein 1,Chapter II Neoplasms,C3_CLL_EXALLC,Inverse variance weighted,4,1.02 [0.96-1.09],0.50816194081282,trans
FCRL1,Fc receptor-like protein 1,Chapter II Neoplasms,CD2_NONFOLLICULAR_LYMPHOMA_EXALLC,Inverse variance weighted,2,0.98 [0.92-1.05],0.591762668750435,trans
FCRL1,Fc receptor-like protein 1,Chapter V Mental and behavioural disorders,F5_ALCOHOL_DEPENDENCE,Inverse variance weighted,3,0.99 [0.94-1.04],0.64632948217009,trans
FCRL1,Fc receptor-like protein 1,Chapter V Mental and behavioural disorders,ALCOHOLMENTAL,Wald ratio,1,0.98 [0.86-1.1],0.689787428786555,trans
