Protein,Protein_definition,Disease_category,Disease,method,nsnp,OR [95% CI],Pvalue,QTL_type
DCXR,L-xylulose reductase,Chapter XI Diseases of the digestive system,K11_FIBROCHIRLIV,Inverse variance weighted,2,1.2 [1.16-1.25],7.24034178946676e-25,trans
DCXR,L-xylulose reductase,Chapter IX Diseases of the circulatory system,I9_HYPTENSPOR,Wald ratio,1,1.17 [1.13-1.21],9.26568747132933e-21,trans
DCXR,L-xylulose reductase,Chapter XI Diseases of the digestive system,K11_DISLIVOTH,Inverse variance weighted,3,1.33 [1.24-1.42],1.48020992626135e-16,trans
DCXR,L-xylulose reductase,Chapter XI Diseases of the digestive system,K11_LIVER,Inverse variance weighted,8,1.33 [1.21-1.45],3.7840597464202e-10,trans
DCXR,L-xylulose reductase,Chapter IX Diseases of the circulatory system,I9_VARICVEOES,Inverse variance weighted,2,1.14 [1.09-1.18],1.12992117700823e-09,trans
DCXR,L-xylulose reductase,Chapter XI Diseases of the digestive system,CHIRHEP_NAS,Inverse variance weighted,2,1.13 [1.08-1.17],1.06461828423381e-08,trans
DCXR,L-xylulose reductase,Chapter XI Diseases of the digestive system,NAFLD,Inverse variance weighted,6,1.13 [1.07-1.2],1.16396956363769e-05,trans
DCXR,L-xylulose reductase,Chapter XI Diseases of the digestive system,K11_ALCOLIV,Inverse variance weighted,4,1.19 [1.1-1.3],4.53390347575105e-05,trans
DCXR,L-xylulose reductase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_DM2NOCOMP,Inverse variance weighted,69,1.06 [1.03-1.09],0.000203164684826152,trans
DCXR,L-xylulose reductase,Chapter V Mental and behavioural disorders,AUD,Inverse variance weighted,6,1.02 [0.97-1.07],0.438204845134551,trans
DCXR,L-xylulose reductase,"Chapter IV Endocrine, nutritional and metabolic diseases",E4_IRON_MET,Inverse variance weighted,8,1 [0.98-1.01],0.472330774881705,trans
DCXR,L-xylulose reductase,Chapter V Mental and behavioural disorders,ALCOHOLMENTAL,Wald ratio,1,0.99 [0.87-1.12],0.840544239992321,trans
DCXR,L-xylulose reductase,Chapter V Mental and behavioural disorders,F5_ALCOHOL_DEPENDENCE,Inverse variance weighted,3,1 [0.95-1.04],0.8582276469492,trans
